shot_distance,angle,shot_type,defensive_pressure,assist_type,goal
18.601075237738275,53.74616226255522,Open Play,high,through_ball,0
14.7648230602334,28.30075576600638,Open Play,high,through_ball,0
30.364452901377952,17.241459398939973,Open Play,high,none,0
7.0,0.0,Open Play,high,through_ball,0
30.01666203960727,1.9091524329963763,Open Play,high,through_ball,0
9.486832980505138,18.43494882292201,Open Play,high,through_ball,0
12.083045973594572,24.443954780416536,Open Play,high,through_ball,0
21.840329667841555,15.945395900922854,Open Play,high,through_ball,0
17.69180601295413,47.290610042638534,Open Play,high,through_ball,0
18.384776310850235,45.0,Open Play,high,none,0
19.849433241279208,40.91438322002513,Open Play,high,through_ball,1
27.073972741361768,4.23639479905884,Free Kick,high,none,0
19.1049731745428,47.12109639666146,Open Play,high,through_ball,0
17.46424919657298,23.629377730656817,Open Play,high,through_ball,0
35.4400902933387,16.389540334034784,Open Play,high,through_ball,0
22.135943621178654,18.43494882292201,Open Play,high,none,0
31.76476034853718,28.178590109959174,Free Kick,high,none,0
16.64331697709324,32.7352262721076,Open Play,high,none,0
10.770329614269007,68.19859051364818,Open Play,high,through_ball,0
22.847319317591726,23.19859051364819,Open Play,high,through_ball,0
17.204650534085253,54.46232220802562,Open Play,high,none,0
13.038404810405298,57.52880770915151,Open Play,high,through_ball,0
36.89173349139343,32.82854179141253,Open Play,high,through_ball,0
24.758836806279895,46.63657704161672,Open Play,high,through_ball,0
20.0,53.13010235415598,Open Play,high,through_ball,0
16.0312195418814,3.576334374997351,Open Play,high,through_ball,0
19.026297590440446,3.0127875041833403,Open Play,high,none,0
28.792360097775937,20.323136829662943,Open Play,high,none,0
13.601470508735444,53.97262661489639,Open Play,high,through_ball,0
15.0,36.86989764584402,Open Play,high,through_ball,0
39.81205847478876,11.592175410291071,Open Play,high,through_ball,0
29.732137494637012,42.27368900609374,Open Play,high,none,0
18.35755975068582,29.357753542791276,Open Play,high,through_ball,0
31.953090617340916,20.136303428248137,Free Kick,high,none,0
9.899494936611665,45.0,Open Play,high,through_ball,0
13.038404810405298,32.47119229084849,Open Play,high,through_ball,0
30.4138126514911,27.407575437818405,Open Play,high,none,0
28.844410203711913,56.309932474020215,Free Kick,high,none,0
19.1049731745428,6.009005957494525,Open Play,high,through_ball,1
28.460498941515414,18.43494882292201,Open Play,high,through_ball,0
33.015148038438355,35.134193056915635,Open Play,high,none,0
24.08318915758459,48.366460663429805,Open Play,high,none,0
32.7566787083184,12.339087278326195,Open Play,high,through_ball,0
27.730849247724095,25.641005824305285,Open Play,high,through_ball,0
15.264337522473747,58.3924977537511,Open Play,high,none,0
8.06225774829855,29.74488129694222,Open Play,high,through_ball,0
21.93171219946131,24.22774531795417,Open Play,high,none,0
19.1049731745428,6.009005957494525,Open Play,high,through_ball,0
12.806248474865697,51.34019174590991,Open Play,high,through_ball,0
18.110770276274835,6.34019174590991,Free Kick,high,none,0
15.264337522473747,58.3924977537511,Open Play,high,through_ball,0
21.95449840010015,30.068582821862453,Open Play,high,through_ball,0
18.681541692269406,15.524110996754258,Open Play,high,none,0
29.154759474226502,30.96375653207352,Free Kick,high,none,0
20.024984394500787,2.8624052261117474,Open Play,high,none,0
7.810249675906654,39.80557109226519,Open Play,high,through_ball,0
18.027756377319946,19.44003482817619,Open Play,high,through_ball,0
31.906112267087632,32.19573393471325,Free Kick,high,none,0
10.44030650891055,73.30075576600639,Open Play,high,through_ball,0
13.038404810405298,32.47119229084849,Open Play,high,through_ball,0
37.48332962798263,9.211026540816666,Open Play,high,through_ball,0
17.0,61.92751306414704,Open Play,high,through_ball,0
25.45584412271571,45.0,Open Play,high,through_ball,1
12.0,0.0,Penalty,high,none,0
9.848857801796104,23.962488974578186,Open Play,high,through_ball,0
28.792360097775937,20.323136829662943,Open Play,high,through_ball,0
23.53720459187964,12.264773727892402,Open Play,high,through_ball,0
28.844410203711913,33.690067525979785,Open Play,high,through_ball,0
22.090722034374522,5.194428907734806,Open Play,high,through_ball,0
27.313000567495326,23.74949449286676,Open Play,high,through_ball,0
10.63014581273465,48.81407483429036,Open Play,high,through_ball,0
11.045361017187261,5.194428907734806,Penalty,high,none,1
23.53720459187964,12.264773727892402,Open Play,high,through_ball,0
9.899494936611665,45.0,Open Play,high,none,0
14.866068747318506,42.27368900609374,Open Play,high,through_ball,0
29.017236257093817,1.9749340108819766,Open Play,high,none,0
5.0990195135927845,11.309932474020213,Open Play,high,through_ball,1
20.0,53.13010235415598,Open Play,high,through_ball,0
9.219544457292887,49.398705354995535,Open Play,high,through_ball,0
12.083045973594572,24.443954780416536,Open Play,high,through_ball,0
17.804493814764857,51.84277341263094,Open Play,high,through_ball,0
31.76476034853718,28.178590109959174,Open Play,high,through_ball,0
12.649110640673518,18.43494882292201,Open Play,high,none,0
20.8806130178211,16.69924423399362,Free Kick,high,none,0
